adSupported=1,genre=Books & Reference,appId=5631
adSupported=0,genre=Social,appId=2422
adSupported=0,genre=Trivia,appId=269
adSupported=1,genre=Weather,appId=1683
adSupported=0,genre=Beauty,appId=149
adSupported=1,genre=Health & Fitness,appId=1531
adSupported=1,genre=Events,appId=131
adSupported=0,genre=Adventure,appId=1173
adSupported=0,genre=Shopping,appId=413
adSupported=0,genre=Photography,appId=706
adSupported=0,genre=Libraries & Demo,appId=73
adSupported=1,genre=Racing,appId=3110
adSupported=1,genre=Art & Design,appId=784
adSupported=0,genre=Casino,appId=612
adSupported=1,genre=Board,appId=2510
adSupported=1,genre=Sports,appId=4782
adSupported=1,genre=Travel & Local,appId=3057
adSupported=0,genre=Travel & Local,appId=1174
adSupported=0,genre=Puzzle,appId=1637
adSupported=1,genre=Video Players & Editors,appId=1169
adSupported=0,genre=Parenting,appId=461
adSupported=1,genre=Entertainment,appId=6685
adSupported=1,genre=Strategy,appId=3758
adSupported=0,genre=Communication,appId=1069
adSupported=0,genre=Sports,appId=2468
adSupported=1,genre=Maps & Navigation,appId=1086
adSupported=1,genre=Photography,appId=2043
adSupported=0,genre=Racing,appId=235
adSupported=0,genre=Educational,appId=1717
adSupported=0,genre=Action,appId=1088
adSupported=1,genre=House & Home,appId=107
adSupported=0,genre=Auto & Vehicles,appId=500
adSupported=0,genre=Business,appId=2622
adSupported=1,genre=Role Playing,appId=4125
adSupported=0,genre=Maps & Navigation,appId=1012
adSupported=0,genre=Video Players & Editors,appId=331
adSupported=1,genre=Business,appId=1289
adSupported=0,genre=Productivity,appId=3211
adSupported=0,genre=Arcade,appId=1068
adSupported=1,genre=Food & Drink,appId=867
adSupported=1,genre=Tools,appId=10644
adSupported=0,genre=Medical,appId=1242
adSupported=0,genre=Music & Audio,appId=1329
adSupported=0,genre=Personalization,appId=2130
adSupported=0,genre=Card,appId=896
adSupported=0,genre=Lifestyle,appId=3293
adSupported=1,genre=News & Magazines,appId=3024
adSupported=1,genre=Arcade,appId=10702
adSupported=1,genre=Lifestyle,appId=3104
adSupported=0,genre=Music,appId=161
adSupported=1,genre=Comics,appId=302
adSupported=0,genre=Simulation,appId=907
adSupported=0,genre=Role Playing,appId=2317
adSupported=0,genre=Entertainment,appId=3528
adSupported=1,genre=Action,appId=7848
adSupported=0,genre=Art & Design,appId=429
adSupported=0,genre=Books & Reference,appId=1805
adSupported=1,genre=Music,appId=687
adSupported=1,genre=Casual,appId=11633
adSupported=1,genre=Education,appId=10637
adSupported=0,genre=Finance,appId=1579
adSupported=1,genre=Word,appId=3897
adSupported=1,genre=Trivia,appId=2924
adSupported=1,genre=Communication,appId=1364
adSupported=1,genre=Educational,appId=3060
adSupported=1,genre=Finance,appId=1775
adSupported=1,genre=Simulation,appId=8026
adSupported=1,genre=Music & Audio,appId=3409
adSupported=0,genre=Education,appId=8226
adSupported=0,genre=House & Home,appId=111
adSupported=0,genre=Weather,appId=199
adSupported=1,genre=Puzzle,appId=14281
adSupported=1,genre=Productivity,appId=3758
adSupported=0,genre=Comics,appId=141
adSupported=0,genre=Casual,appId=1563
adSupported=0,genre=News & Magazines,appId=2241
adSupported=1,genre=Card,appId=2424
adSupported=1,genre=Auto & Vehicles,appId=546
adSupported=0,genre=Board,appId=595
adSupported=1,genre=Dating,appId=1425
adSupported=0,genre=Word,appId=319
adSupported=0,genre=Events,appId=122
adSupported=1,genre=Casino,appId=1895
adSupported=1,genre=Adventure,appId=4776
adSupported=0,genre=Dating,appId=1303
adSupported=1,genre=Social,appId=2179
adSupported=0,genre=Strategy,appId=1435
adSupported=1,genre=Libraries & Demo,appId=136
adSupported=0,genre=Food & Drink,appId=517
adSupported=1,genre=Medical,appId=570
adSupported=1,genre=Beauty,appId=168
adSupported=0,genre=Health & Fitness,appId=2260
adSupported=0,genre=Tools,appId=4048
adSupported=1,genre=Personalization,appId=2154
adSupported=1,genre=Shopping,appId=513
adSupported=1,genre=Parenting,appId=362
